n_params	params	my_signal_loss	monai_signal_loss	my_time	monai_time
1	['flip_params']	0.0	0.0	0.014373779296875	0.002774953842163086
1	['translate_params']	469.27362	469.27557	0.5818266868591309	0.9375958442687988
1	['rotate_params']	344.5216	344.5216	0.6186180114746094	0.5959749221801758
1	['flip_params']	5.5946276e-07	2.0300288e-07	0.47083401679992676	0.011090993881225586
1	['rotate_params']	341.75797	341.75797	0.594630241394043	0.5968191623687744
1	['rotate_params']	345.18222	345.18216	0.46920180320739746	0.46654415130615234
1	['rotate_params']	349.19083	349.1908	0.5362458229064941	0.5307788848876953
1	['scale_params']	356.63214	724.9717	0.4665791988372803	0.3768179416656494
1	['translate_params']	352.28967	352.29184	0.4716489315032959	1.1007139682769775
1	['flip_params']	3.4927888e-07	4.301584e-08	0.4743218421936035	0.006970882415771484
1	['flip_params']	5.5946276e-07	2.0300288e-07	0.46723413467407227	0.011581897735595703
1	['rotate_params']	343.74683	343.7468	0.6023857593536377	0.5946500301361084
1	['translate_params']	589.3269	589.3277	0.46006107330322266	0.9781038761138916
1	['shear_params']	366.42984	366.42987	0.47923803329467773	0.9509868621826172
1	['scale_params']	347.59927	709.3605	0.46663904190063477	0.35894012451171875
1	['rotate_params']	347.45325	347.45334	0.5182778835296631	0.5459818840026855
1	['shear_params']	364.71548	364.71545	0.476853609085083	0.9406259059906006
1	['flip_params']	4.318899e-07	1.3283291e-07	0.4647543430328369	0.006924152374267578
1	['shear_params']	364.35373	364.35367	0.484576940536499	0.9972927570343018
1	['shear_params']	361.35638	361.35632	0.4968140125274658	1.0136783123016357
1	['shear_params']	360.9599	360.95984	0.5224051475524902	0.9522449970245361
1	['scale_params']	359.6342	683.9139	0.46108317375183105	0.3451547622680664
1	['flip_params']	4.318899e-07	1.3283291e-07	0.4629640579223633	0.007142782211303711
1	['translate_params']	264.7154	264.714	0.46236705780029297	0.9288547039031982
1	['scale_params']	363.56073	708.0974	0.4659700393676758	0.34438610076904297
1	['rotate_params']	346.31818	346.31818	0.5710611343383789	0.5567479133605957
1	['rotate_params']	343.77042	343.77036	0.5395612716674805	0.525277853012085
