Epoch	Training Loss	Validation Loss	Time
0	0.266622893361901	0.06023124698549509	291.271484375
1	0.049984468907251486	0.04421915120578238	288.573842048645
2	0.049052678967404256	0.07253463785829288	288.4779567718506
3	0.04944528705302643	0.03876052830102188	287.34440541267395
4	0.03620317890705549	0.03596070205925831	288.4018061161041
5	0.03343244726381227	0.03270111369368221	288.4126138687134
6	0.030937742567182656	0.030865443970209787	286.73151779174805
7	0.033782561890146126	0.030571741417848637	287.7133278846741
8	0.029121037004640818	0.02863712632097304	286.64130187034607
9	0.027942576524989486	0.028320800878905823	288.0163538455963
10	0.027206805271551747	0.027748164754094824	286.6836807727814
11	0.02560825456318032	0.026077734572546824	287.67286705970764
12	0.025109378587571493	0.02901355895612921	287.93954706192017
13	0.024456794549097126	0.02383684124132352	287.75353050231934
14	0.023742519544579524	0.024719070410355926	287.3698971271515
15	0.02328647385380594	0.024299125985375473	287.5152094364166
16	0.021744362241484124	0.02245237784726279	287.40594148635864
17	0.022305292954392764	0.023369963646733334	287.38803124427795
18	0.019655137243492722	0.021968058543279767	288.35189867019653
19	0.019147090647252688	0.021751552587375045	287.2575283050537
20	0.017658380461614494	0.020220150206504122	286.8175344467163
21	0.017052760665125375	0.02068307313935033	287.2560796737671
22	0.016126252973928314	0.019723771705425212	288.41982221603394
23	0.016031855333078604	0.018969478318467736	288.4476034641266
24	0.01570928809671525	0.018962687513391887	288.8036947250366
25	0.015310957188396443	0.01931345645737435	287.0662581920624
26	0.015303761902945993	0.018221117722402726	288.033331155777
27	0.0142857636421117	0.017906387469598224	288.3099148273468
28	0.014555491544640385	0.017849304946139455	287.9894208908081
29	0.014541766994670368	0.018498258598681008	287.8431627750397
30	0.014047471706174949	0.017354097267213677	287.51700019836426
31	0.013723405696150968	0.017308329198775545	287.35290932655334
32	0.01330817425247666	0.016638169846763567	287.4546175003052
33	0.013288592339196815	0.017500170107398714	287.6567988395691
34	0.013042662234250206	0.016276582061047002	287.00164675712585
35	0.013615741903973	0.017772069150981094	288.27411341667175
36	0.013021477218299703	0.01717997432154204	289.5183479785919
37	0.012776775293954285	0.016353630843306228	287.95744228363037
38	0.012891181268532982	0.015901667182333767	288.2742359638214
39	0.012391571982893174	0.016385412458995625	288.67534732818604
40	0.012556850672135706	0.016909941332414746	287.7020597457886
41	0.012355208985774774	0.016509454514432167	287.66875648498535
42	0.012436851967677407	0.016295197486345257	287.95287704467773
43	0.012043913183190898	0.015470248996280134	285.82381939888
44	0.012334008884904364	0.015237484143913857	287.0370669364929
45	0.0120909022117209	0.015819217344479903	287.87761759757996
46	0.011959071538406904	0.015500239312781819	287.82595920562744
47	0.011762944200481268	0.015065970564527171	285.9308750629425
48	0.011596234912061102	0.014871010390509452	287.18379950523376
49	0.011732506139763534	0.015317614107126636	287.23444390296936
50	0.012260883395046397	0.015012205395448421	287.4516406059265
51	0.011567879622726965	0.01492501303021397	288.0684127807617
52	0.011573481866296365	0.015568161200332855	288.2762522697449
53	0.011409043075491763	0.01549103096060987	287.30928015708923
54	0.011361677575472224	0.014757272903807461	288.2755091190338
55	0.011268589858617216	0.015444678387471608	287.48247241973877
56	0.015971344327679396	0.02082067322252052	287.24131870269775
57	0.015136500904044229	0.016524029413371215	288.15197920799255
58	0.01404532072272135	0.016107374536139623	287.2148787975311
59	0.012651929485657557	0.015413720426814896	287.8731098175049
60	0.0120102804271095	0.015094040660187602	288.7231843471527
61	0.01160383447085929	0.014840441872365773	288.0887713432312
62	0.011288063170496925	0.014684707092653428	287.19000792503357
63	0.011396767976672927	0.014988939859904349	287.5010280609131
64	0.011160316968946446	0.01467979494814894	287.2318732738495
65	0.011060936117519713	0.014264739234931767	286.5031809806824
66	0.01086106282896926	0.014441062430185931	287.4692497253418
67	0.010966466104970918	0.014730888052976556	287.30932235717773
68	0.010934325749463831	0.014373184414580464	285.869934797287
69	0.010698304428080004	0.01429895860409098	287.01243448257446
70	0.01096712454376667	0.014728262105823628	288.436621427536
71	0.010683331745071127	0.014143253926054708	288.0123941898346
72	0.010505247823559917	0.014397769600951247	287.53808665275574
73	0.01083403787337611	0.013874672253483109	288.3967306613922
74	0.010422746629992943	0.014125088512498354	288.5457720756531
75	0.010529666675480224	0.013917130052245088	287.175843000412
76	0.01053380775745674	0.013914770047579492	287.4601755142212
77	0.010439870386246608	0.015029007785155304	288.2721676826477
78	0.010837433475483159	0.014180898816058678	288.54746890068054
79	0.01018049253042236	0.014084952966576176	288.16328525543213
80	0.01033408231114459	0.013679473710778569	288.3226206302643
81	0.010121259635790447	0.01381665759254247	286.8779356479645
82	0.010280219311805049	0.013965591389153684	287.0921080112457
83	0.01029376247521874	0.01411357821364488	287.48127698898315
84	0.010114800821856132	0.013601582696927446	286.519948720932
85	0.01017333720831593	0.013553174428774841	287.68090415000916
86	0.01025787029716065	0.013342841628140636	288.1292369365692
87	0.009943237711963633	0.013288742263934441	288.41517519950867
88	0.010202464555711757	0.013738995717306222	288.2953841686249
89	0.010179432714566788	0.013531198342596846	286.29741048812866
90	0.010051883266395117	0.013870853082542973	286.205118894577
91	0.010108401512334567	0.013531282793597452	287.9820976257324
92	0.009874147555118451	0.01318677032499441	288.0340995788574
93	0.009828046031062378	0.013259140757976897	288.1921365261078
94	0.009897106479552695	0.01312525340888117	285.96029901504517
95	0.00982058344350401	0.01315932978676366	285.27540397644043
96	0.009829249427206982	0.013046010813143636	285.4900677204132
97	0.009951992522123282	0.012942510008412813	285.32805347442627
98	0.010093049465724572	0.013196263878074075	287.4625687599182
99	0.00990096756545284	0.014210875046306424	287.64626002311707
100	0.009935175173084832	0.013394932212707187	285.870934009552
101	0.00950485357655538	0.013460885417381567	286.58269572257996
102	0.00948987916036772	0.012836564282354499	288.5450487136841
103	0.009742028044428126	0.013101404466267143	288.62498354911804
104	0.009493530337435649	0.013374703088110047	288.80318331718445
105	0.009594180594060586	0.012697330276880945	287.74183797836304
106	0.009563167412418689	0.012820877999599491	286.8898663520813
107	0.009927911086701224	0.013039053168280848	288.5952651500702
108	0.009404758381920411	0.01297472374114607	288.07880210876465
109	0.009400565417341454	0.01312767363352967	288.9090015888214
